,SPY,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU
2018-09-14,290.88,48.37,116.92,54.76,74.26,28.23,93.53,79.07,59.41,33.58,74.94,54.3
2018-09-17,289.34,47.9,115.47,54.96,74.38,28.11,93.19,79.1,59.62,33.77,74.0,54.48
2018-09-18,290.91,48.24,116.94,54.73,74.87,28.25,93.73,79.82,59.68,33.57,74.47,54.38
2018-09-19,291.22,48.37,116.99,54.63,75.1,28.73,93.6,79.75,60.33,33.25,74.28,53.2
2018-09-20,293.58,48.9,117.79,55.32,75.12,28.98,94.51,79.87,60.98,33.5,75.16,53.31
2018-09-21,291.99,48.55,116.92,55.02,75.1,28.74,94.27,80.0,60.56,33.15,74.61,53.06
2018-09-24,291.02,48.55,116.16,54.18,76.2,28.42,94.46,78.63,59.71,32.5,74.98,52.59
2018-09-25,290.75,48.57,116.65,53.86,76.69,28.31,94.17,78.39,59.4,32.47,74.89,51.87
2018-09-26,289.88,48.76,116.92,53.92,75.95,27.97,94.38,78.34,58.81,32.11,74.61,51.36
2018-09-27,290.69,49.18,117.32,53.85,75.95,27.87,94.86,78.45,58.3,32.21,75.05,51.89
2018-09-28,290.72,49.0,117.22,53.93,75.74,27.58,95.15,78.4,57.93,32.61,75.33,52.65
2018-10-01,291.73,48.8,116.86,53.89,76.79,27.69,95.62,79.09,58.51,32.36,75.69,52.47
2018-10-02,291.56,48.76,115.28,54.2,76.87,27.69,95.51,79.27,58.76,32.26,75.7,53.18
2018-10-03,291.72,48.98,114.89,53.62,77.49,27.95,95.33,79.6,58.34,31.89,75.93,52.54
2018-10-04,289.44,48.28,113.09,53.49,77.17,28.14,94.4,79.34,58.07,31.74,74.56,52.82
2018-10-05,287.82,47.82,112.24,53.44,77.16,28.0,94.29,78.93,57.64,31.75,73.62,53.63
2018-10-08,287.82,47.66,112.53,54.18,77.1,28.19,94.25,79.13,57.61,32.16,72.79,54.08
2018-10-09,287.4,47.63,112.2,54.06,77.79,28.08,94.41,77.91,55.7,32.27,73.05,54.3
2018-10-10,278.3,45.75,108.42,53.41,75.35,27.21,92.18,75.4,54.24,31.76,69.51,54.0
2018-10-11,272.17,45.36,106.51,52.09,72.8,26.4,89.69,73.41,53.61,30.83,68.63,53.01
2018-10-12,275.95,46.37,108.48,52.38,73.0,26.43,91.07,73.9,53.76,30.81,70.83,52.95
2018-10-15,274.4,46.19,108.23,52.7,72.39,26.31,90.44,74.04,53.58,31.0,69.67,53.2
2018-10-16,280.4,47.41,110.4,53.29,72.99,26.75,92.92,75.29,54.44,31.58,71.77,53.75
2018-10-17,280.45,47.6,109.49,53.54,72.53,27.02,93.41,74.74,54.09,31.49,71.44,53.65
2018-10-18,276.4,46.73,107.39,53.47,72.17,26.57,92.35,73.45,53.48,31.5,70.04,53.73
2018-10-19,276.25,46.72,106.34,54.69,71.53,26.67,91.51,73.18,53.1,31.82,70.01,54.57
2018-10-22,275.01,46.69,106.77,54.28,70.74,26.1,90.76,72.93,52.68,31.37,70.59,54.22
2018-10-23,273.61,46.59,106.79,54.52,68.89,25.89,90.27,71.73,52.16,31.57,70.32,53.92
2018-10-24,265.32,44.37,103.6,54.75,66.17,25.24,87.29,69.3,50.51,31.94,67.17,55.23
2018-10-25,270.08,45.84,106.73,54.88,66.98,25.63,88.42,69.79,51.16,32.32,69.48,54.37
2018-10-26,265.33,44.6,103.41,53.83,66.48,25.26,87.42,69.1,50.86,31.48,68.09,53.37
2018-10-29,263.86,43.91,102.5,54.45,65.24,25.48,87.64,67.95,50.74,32.0,66.94,54.12
2018-10-30,267.77,45.11,104.04,55.53,66.75,25.92,88.58,69.35,51.9,32.53,67.69,54.33
2018-10-31,270.63,46.04,105.38,55.01,67.16,26.28,88.7,69.88,52.61,32.09,69.3,53.69
2018-11-01,273.51,46.31,107.53,55.4,67.73,26.4,89.82,71.11,54.09,32.21,70.11,53.45
2018-11-02,271.89,45.84,107.97,55.11,67.56,26.38,89.26,70.99,53.96,31.94,68.74,53.15
2018-11-05,273.39,45.65,108.12,55.8,68.69,26.8,90.05,71.36,54.12,32.47,68.67,53.9
2018-11-06,275.12,45.92,108.6,56.14,69.01,26.94,90.51,72.11,55.01,32.65,69.1,54.26
2018-11-07,281.01,46.76,111.54,56.46,70.14,27.29,93.17,73.28,56.0,33.01,71.13,54.88
2018-11-08,280.5,46.32,111.57,56.49,68.62,27.37,93.22,73.16,55.76,33.08,71.07,54.79
2018-11-09,277.76,45.37,110.02,56.82,68.5,27.12,92.95,72.42,54.98,33.12,69.84,54.87
2018-11-12,272.57,44.69,107.81,56.52,67.08,26.58,91.69,70.99,54.17,33.19,67.38,54.84
2018-11-13,272.06,44.55,107.76,56.39,65.54,26.73,91.05,71.31,54.01,33.26,67.46,55.07
2018-11-14,270.2,44.77,106.95,56.01,65.43,26.37,90.32,71.07,53.95,33.25,66.65,54.5
2018-11-15,273.02,45.1,106.79,55.92,66.39,26.76,91.12,72.01,54.69,32.99,68.32,54.05
2018-11-16,273.73,44.88,106.37,56.06,67.18,26.79,92.04,71.99,55.24,33.46,68.21,54.88
2018-11-19,269.1,43.52,103.77,55.97,67.16,26.78,90.87,70.85,54.45,33.55,65.61,55.12
2018-11-20,264.12,42.95,101.42,55.04,64.96,26.19,90.02,69.38,53.46,33.11,64.2,54.89
2018-11-21,265.02,43.46,102.48,54.6,65.98,26.21,89.51,69.87,53.89,33.09,64.67,54.08
2018-11-23,263.25,42.89,102.02,54.79,63.91,26.0,89.64,69.73,53.31,32.97,64.08,54.11
2018-11-26,267.5,43.87,104.31,54.86,64.87,26.53,90.51,70.24,53.92,33.04,65.53,54.43
2018-11-27,268.4,44.01,104.62,55.35,64.69,26.55,91.45,70.12,53.26,33.22,65.66,54.84
2018-11-28,274.58,44.93,107.71,55.81,65.8,27.06,93.65,71.8,54.08,33.49,67.96,54.8
2018-11-29,273.98,45.08,107.21,55.9,66.23,26.83,93.96,71.84,54.47,33.53,67.3,54.78
2018-11-30,275.65,45.01,107.99,56.26,66.11,26.97,95.87,72.54,54.61,33.85,67.94,55.59
2018-12-03,279.3,45.08,110.01,56.31,67.58,27.14,95.41,73.38,55.57,34.01,69.44,56.15
2018-12-04,270.25,43.75,106.05,55.36,65.64,25.96,93.28,70.26,53.92,33.56,66.81,56.19
2018-12-06,269.84,44.24,106.56,55.42,64.43,25.6,92.93,69.87,53.19,34.48,66.96,56.25
2018-12-07,263.57,43.4,103.37,54.72,64.07,25.11,90.56,68.03,51.91,33.96,64.6,56.46
2018-12-10,264.07,43.73,103.45,54.72,63.07,24.76,90.91,68.2,52.05,33.83,65.49,56.57
2018-12-11,264.13,43.77,103.49,55.17,63.09,24.52,91.19,67.8,51.88,33.89,65.57,56.8
2018-12-12,265.46,44.24,104.58,55.1,63.34,24.66,91.97,68.18,52.33,33.25,66.08,56.44
2018-12-13,265.37,44.04,104.06,55.44,63.54,24.48,92.06,67.99,51.72,33.48,66.19,56.93
2018-12-14,260.47,43.61,102.33,54.5,62.09,24.24,88.96,67.05,51.32,33.42,64.57,56.82
2018-12-17,255.36,42.76,99.73,53.24,60.96,24.0,87.19,65.95,50.44,32.17,63.2,54.99
2018-12-18,255.08,42.95,100.51,52.61,59.52,23.91,86.43,66.28,50.72,32.49,63.7,54.62
2018-12-19,251.26,42.03,98.52,52.1,58.82,23.61,85.3,65.03,50.03,32.19,62.44,54.53
2018-12-20,247.17,41.29,96.31,51.17,57.19,23.4,84.1,63.84,49.36,31.8,61.32,54.5
2018-12-21,240.7,39.81,93.76,50.18,56.11,22.79,82.68,62.25,48.6,30.95,59.2,53.81
2018-12-24,234.34,38.97,91.98,48.73,53.84,22.31,80.7,60.34,47.34,29.81,57.62,51.56
2018-12-26,246.18,41.16,97.43,50.09,57.19,23.32,84.22,63.15,49.46,30.76,61.1,52.26
2018-12-27,248.07,41.35,97.95,50.57,57.49,23.6,85.15,63.94,50.37,30.83,61.54,52.7
2018-12-28,247.75,41.22,97.96,50.57,57.05,23.59,85.25,63.77,50.1,30.94,61.4,52.83
2018-12-31,249.92,41.28,99.01,50.78,57.35,23.82,86.51,64.41,50.52,31.0,61.98,52.92
2019-01-02,250.18,41.83,99.76,50.48,58.48,24.02,85.2,64.74,50.78,30.29,62.02,52.01
2019-01-03,244.21,41.13,97.6,50.19,57.9,23.48,83.47,62.77,49.34,30.43,58.89,52.0
2019-01-04,252.39,42.9,100.83,51.26,59.87,24.26,85.96,65.15,51.28,30.74,61.5,52.77
2019-01-07,254.38,43.39,103.11,51.19,60.76,24.29,86.29,65.68,51.46,31.0,62.05,52.41
2019-01-08,256.77,44.12,104.25,51.66,61.23,24.31,86.96,66.58,52.0,31.54,62.57,53.06
2019-01-09,257.97,44.18,104.78,51.18,62.2,24.43,87.35,67.03,52.02,31.41,63.38,52.74
2019-01-10,258.88,44.27,104.48,51.48,62.38,24.44,87.52,67.94,52.48,31.91,63.66,53.43
2019-01-11,258.98,44.05,104.58,51.63,62.01,24.5,87.81,67.87,52.27,31.97,63.54,53.23
2019-01-14,257.4,43.89,103.94,51.38,61.86,24.67,86.84,67.86,51.87,31.87,62.95,52.03
2019-01-15,260.35,44.62,104.88,51.89,62.08,24.89,88.4,67.65,51.53,32.23,63.9,52.67
2019-01-16,260.98,44.43,104.64,51.61,62.0,25.42,88.24,67.72,51.73,32.38,63.96,52.86
2019-01-17,262.96,44.61,105.35,51.83,62.57,25.56,89.02,68.88,52.64,32.54,64.37,53.08
2019-01-18,266.46,44.97,106.81,52.45,63.84,26.0,90.08,70.19,53.51,32.66,65.35,53.14
2019-01-22,262.86,44.04,105.21,51.97,62.45,25.7,89.46,68.74,52.77,32.6,64.25,53.24
2019-01-23,263.41,43.84,105.42,52.59,61.81,25.73,89.56,68.84,52.41,32.62,64.47,53.78
2019-01-24,263.55,44.04,105.86,51.94,62.14,25.79,88.81,69.19,52.13,32.75,65.01,54.06
2019-01-25,265.78,44.6,107.03,51.73,62.93,26.0,88.92,70.07,53.12,33.13,65.93,53.32
2019-01-28,263.76,44.21,106.41,51.95,62.3,25.92,87.91,69.4,53.04,33.46,65.05,53.07
2019-01-29,263.41,43.69,105.72,52.07,62.49,25.83,88.34,70.36,53.59,33.72,64.35,53.22
2019-01-30,267.58,44.32,107.8,52.42,63.37,25.98,89.55,71.46,54.16,34.0,66.35,53.63
2019-01-31,269.93,46.13,108.78,53.39,63.78,25.94,90.67,71.77,53.35,34.33,66.28,54.76
2019-02-01,270.06,45.97,107.19,53.22,64.89,26.05,90.75,71.88,53.51,34.12,66.67,54.55
2019-02-04,271.96,46.4,107.89,53.56,65.04,26.16,90.49,72.81,53.42,34.32,67.74,54.64
2019-02-05,273.1,46.91,108.9,53.57,65.14,26.09,90.36,73.44,53.81,34.55,68.31,54.75
2019-02-06,272.74,45.86,108.45,53.58,64.66,26.06,90.77,73.46,53.49,34.28,68.54,54.72
2019-02-07,270.14,45.42,107.56,53.54,63.23,25.8,89.77,72.96,52.75,34.57,67.6,55.44
2019-02-08,270.47,45.73,107.13,53.79,62.94,25.67,89.94,73.07,52.7,34.57,67.99,55.68
2019-02-11,270.62,45.26,107.32,53.93,63.24,25.75,89.83,73.46,52.78,34.67,67.96,55.66
2019-02-12,274.1,45.78,108.97,54.35,64.04,26.13,91.06,74.6,53.96,34.43,68.86,55.79
2019-02-13,274.99,45.81,109.71,54.45,64.84,26.2,91.26,75.04,54.03,34.66,68.95,55.63
2019-02-14,274.38,45.98,109.31,53.84,65.07,25.88,91.47,74.69,53.75,34.79,69.07,55.54
2019-02-15,277.37,46.18,110.06,54.35,66.12,26.43,92.85,75.69,54.48,35.0,69.62,55.71
2019-02-19,277.85,46.23,110.51,54.63,66.32,26.47,92.63,75.66,54.82,35.04,69.64,56.04
2019-02-20,278.41,46.07,110.73,54.53,66.6,26.64,92.52,76.02,55.76,34.82,69.72,56.29
2019-02-21,277.42,45.64,110.51,54.69,65.57,26.5,91.71,75.71,55.54,34.88,69.75,56.7
2019-02-22,279.14,46.07,111.11,54.43,65.76,26.46,92.55,76.21,55.78,35.08,70.64,57.05
2019-02-25,279.52,46.12,110.74,54.13,65.87,26.57,92.68,76.51,56.14,34.79,70.98,56.68
2019-02-26,279.32,46.12,110.89,54.16,65.66,26.49,92.35,76.3,55.82,34.72,71.13,56.61
2019-02-27,279.2,45.89,110.81,54.08,65.91,26.59,91.92,76.6,55.73,34.61,71.06,56.68
2019-02-28,278.68,45.92,110.21,54.34,65.25,26.52,91.65,76.34,55.05,34.71,70.86,57.01
2019-03-01,280.42,46.28,111.1,54.24,66.45,26.69,92.95,76.41,54.98,34.67,71.34,57.13
2019-03-04,279.4,46.34,110.75,54.15,66.57,26.52,91.69,76.07,55.23,34.81,71.07,57.23
2019-03-05,279.02,46.63,111.03,54.11,66.35,26.42,91.64,75.58,54.97,34.91,70.86,57.16
2019-03-06,277.33,46.61,110.51,54.03,65.51,26.25,90.3,74.87,55.09,34.82,70.49,57.16
2019-03-07,275.01,46.2,109.17,53.68,65.12,25.98,89.59,74.42,54.64,34.79,69.82,57.35
2019-03-08,274.46,46.17,108.41,53.71,63.9,25.97,89.4,74.27,54.73,34.82,69.81,57.55
2019-03-11,278.44,47.0,109.9,54.41,64.9,26.24,90.42,74.9,55.51,35.36,71.31,57.96
2019-03-12,279.49,47.21,110.21,54.43,65.32,26.3,91.08,74.28,55.72,35.55,71.73,58.36
2019-03-13,281.34,47.35,110.6,54.74,65.98,26.48,92.06,74.93,55.99,35.72,72.2,58.42
2019-03-14,281.16,47.14,110.27,54.69,66.05,26.58,91.91,74.68,55.57,35.81,72.35,58.41
2019-03-15,281.31,47.02,110.6,54.7,65.51,26.63,91.99,73.99,55.4,35.46,72.99,58.19
2019-03-18,282.33,46.62,111.67,54.78,66.42,26.9,91.85,74.71,55.53,35.28,73.3,57.97
2019-03-19,282.4,46.7,112.23,54.74,66.24,26.69,92.58,74.44,55.46,35.18,73.45,57.31
2019-03-20,281.55,47.12,112.39,54.51,66.82,26.14,91.94,73.93,55.41,35.34,73.25,57.46
2019-03-21,284.73,47.74,113.93,55.15,67.29,26.06,92.3,74.64,56.0,35.97,75.09,58.07
2019-03-22,279.25,46.97,111.67,55.08,65.47,25.34,90.62,72.95,54.33,35.8,73.32,58.49
2019-03-25,279.04,46.89,112.33,55.19,65.5,25.23,90.57,73.12,54.23,35.83,73.0,58.54
2019-03-26,281.12,47.12,112.81,55.66,66.44,25.53,91.19,73.61,54.56,36.05,73.4,58.96
2019-03-27,279.65,46.78,112.58,55.47,65.97,25.42,90.43,73.69,54.49,35.93,72.98,58.55
2019-03-28,280.71,46.67,113.26,55.74,66.22,25.64,90.66,74.23,55.02,36.23,73.28,57.86
2019-03-29,282.48,46.77,113.85,56.11,66.12,25.71,91.75,75.03,55.5,36.22,74.0,58.17
2019-04-01,285.83,47.48,115.1,55.92,66.99,26.34,91.89,76.58,56.33,36.11,75.01,57.77
2019-04-02,285.97,47.73,115.08,55.46,66.53,26.32,91.68,76.55,56.52,36.42,75.27,57.85
2019-04-03,286.42,47.91,115.89,55.19,65.89,26.4,91.56,76.32,57.26,36.38,75.88,57.76
2019-04-04,287.18,48.18,116.83,55.4,66.44,26.56,91.37,76.79,57.84,36.27,75.56,57.56
2019-04-05,288.57,48.32,117.52,55.59,67.61,26.6,92.0,77.01,57.82,36.55,75.92,58.1
2019-04-08,288.79,48.23,117.94,55.82,67.91,26.63,91.98,76.68,57.84,36.37,76.21,57.69
2019-04-09,287.31,48.36,116.88,55.75,67.08,26.41,91.74,75.64,57.42,36.26,75.85,57.83
2019-04-10,288.29,48.57,117.44,55.91,67.33,26.49,91.77,75.62,57.39,36.55,76.38,57.65
2019-04-11,288.21,48.6,117.59,56.02,67.38,26.65,90.64,76.27,57.36,36.5,76.28,57.94
2019-04-12,290.16,49.02,118.32,56.2,67.56,27.14,89.81,77.28,58.12,36.7,76.81,58.21
2019-04-15,289.97,48.98,118.56,56.53,67.16,26.97,90.17,76.85,57.85,36.48,76.78,58.2
2019-04-16,290.16,49.03,119.08,56.54,67.6,27.35,88.32,77.32,58.11,35.62,77.17,57.48
2019-04-17,289.45,49.12,119.31,56.82,67.51,27.42,85.78,77.42,57.75,35.25,77.6,57.26
2019-04-18,290.02,49.15,119.27,56.87,67.19,27.34,85.92,78.31,57.82,35.53,77.82,57.29
2019-04-22,290.27,49.37,118.82,56.89,68.61,27.26,85.97,78.07,57.43,35.14,78.0,57.24
2019-04-23,292.88,50.03,120.24,56.71,68.5,27.43,87.33,78.75,57.69,35.54,78.85,57.4
2019-04-24,292.23,49.8,120.35,56.83,67.3,27.4,87.23,78.52,57.33,35.79,78.88,57.77
2019-04-25,292.05,50.36,119.72,56.47,67.09,27.45,88.13,76.94,56.6,35.75,78.86,58.01
2019-04-26,293.41,50.76,120.67,56.98,66.22,27.7,89.01,77.52,57.07,35.99,78.56,58.1
2019-04-29,293.87,51.22,120.25,57.05,66.16,27.98,88.85,77.7,56.96,35.62,78.58,57.76
2019-04-30,294.02,50.07,120.07,57.71,66.11,28.02,89.26,78.01,57.45,36.03,78.71,58.71
2019-05-01,291.81,49.81,118.61,57.0,64.79,27.79,89.1,77.5,56.41,36.03,78.51,58.11
2019-05-02,291.18,49.61,118.7,56.98,63.66,27.82,89.48,77.46,56.12,36.1,78.1,57.98
2019-05-03,294.03,50.09,120.1,57.41,64.25,28.07,90.16,78.4,56.67,36.35,78.84,58.3
2019-05-06,292.82,50.01,119.37,57.32,64.31,27.88,90.62,77.65,55.86,36.2,78.23,57.98
2019-05-07,287.93,49.2,117.56,56.75,63.75,27.42,88.88,76.08,54.88,35.58,76.55,57.8
2019-05-08,287.53,49.12,117.6,56.74,63.75,27.36,89.07,76.08,54.83,35.58,76.46,57.01
2019-05-09,286.66,48.97,117.12,56.62,63.75,27.3,88.88,75.97,54.4,35.7,75.94,56.94
2019-05-10,288.1,49.11,117.29,57.31,64.05,27.48,88.91,76.27,55.14,36.11,76.18,57.96
2019-05-13,280.86,47.59,113.8,56.77,62.95,26.68,87.24,74.1,53.9,36.11,73.31,58.58
2019-05-14,283.4,47.86,114.95,57.04,63.72,26.89,87.68,74.87,54.36,36.24,74.49,58.19
2019-05-15,285.06,48.93,115.73,57.49,64.05,26.79,87.94,74.97,54.22,36.48,75.3,58.09
2019-05-16,287.7,49.36,116.8,57.94,64.4,27.06,88.63,75.66,54.98,36.69,75.99,58.48
2019-05-17,285.84,49.0,115.91,57.75,63.75,26.88,88.44,74.82,54.65,36.64,75.38,58.78
2019-05-20,283.95,48.19,115.09,57.61,63.78,26.91,88.4,74.63,53.87,36.05,74.07,58.86
2019-05-21,286.51,48.72,115.89,57.49,64.52,27.19,89.23,75.51,54.7,36.35,74.98,58.97
2019-05-22,285.63,48.67,114.7,57.75,63.52,27.03,89.74,74.89,54.32,36.52,74.59,59.41
2019-05-23,282.14,47.99,113.28,57.73,61.39,26.65,89.43,73.75,53.49,36.7,73.28,59.92
2019-05-24,282.78,47.98,113.43,57.52,61.62,26.86,89.56,73.78,53.79,36.75,73.3,59.83
2019-05-28,280.15,48.19,112.68,56.58,60.98,26.55,88.28,73.1,53.25,36.37,73.09,58.85
2019-05-29,278.27,47.72,111.68,56.17,60.59,26.5,87.43,72.77,53.26,35.95,72.66,58.07
2019-05-30,279.03,47.83,112.41,56.41,59.82,26.41,87.91,73.05,53.35,36.17,73.11,57.98
2019-05-31,275.27,47.09,110.94,55.61,58.77,26.01,87.28,72.05,52.75,36.47,71.89,58.25
2019-06-03,274.57,45.61,110.01,56.31,59.52,26.18,87.49,72.54,54.41,36.61,70.63,58.83
2019-06-04,280.53,46.59,112.99,56.82,60.55,26.89,88.94,74.27,55.94,36.41,72.99,58.88
2019-06-05,282.96,46.61,113.55,57.47,59.88,27.06,89.61,74.99,56.35,37.24,73.94,60.14
2019-06-06,284.8,46.81,114.13,58.07,60.99,27.16,90.07,75.12,57.02,37.31,74.8,60.51
2019-06-07,287.65,47.57,115.78,58.63,61.27,27.12,91.01,75.72,57.53,37.43,76.19,60.06
2019-06-10,288.97,47.53,116.76,58.65,61.45,27.35,91.28,75.82,57.63,37.3,76.97,59.65
2019-06-11,288.9,47.73,117.21,58.84,61.57,27.36,91.13,75.17,57.59,37.37,76.97,59.29
2019-06-12,288.39,47.5,117.18,58.93,60.7,27.09,91.57,75.33,57.78,37.51,76.54,60.06
2019-06-13,289.58,48.03,118.23,59.06,61.41,27.18,91.46,75.71,58.12,37.56,76.77,60.18
2019-06-14,289.26,48.12,118.49,59.09,61.01,27.24,91.25,75.41,57.87,37.72,76.1,60.81
2019-06-17,289.37,48.67,118.54,58.92,61.52,26.99,91.66,75.15,57.34,38.13,76.16,60.64
2019-06-18,292.4,48.94,119.44,58.6,62.37,27.35,92.44,76.61,57.79,38.02,77.54,60.39
2019-06-19,293.06,49.0,119.66,58.84,62.3,27.3,93.27,76.55,57.47,38.27,77.82,60.85
2019-06-20,295.86,49.31,120.49,59.36,63.68,27.42,93.68,77.83,58.2,38.5,78.96,61.24
2019-06-21,294.0,49.4,119.52,58.72,63.56,27.22,93.73,77.08,57.67,37.77,78.31,60.99
2019-06-24,293.64,49.52,118.88,58.87,62.99,27.11,93.24,76.93,57.89,37.58,78.46,61.01
2019-06-25,290.76,48.6,117.74,58.84,62.49,27.02,92.86,76.35,57.92,37.07,77.02,60.64
2019-06-26,290.47,48.41,118.12,58.0,63.45,26.97,91.69,76.54,57.82,36.35,77.85,59.32
2019-06-27,291.5,48.75,118.86,58.11,62.98,27.21,92.33,76.61,58.01,36.65,78.05,59.4
2019-06-28,293.0,49.22,119.2,58.07,63.71,27.6,92.64,77.42,58.5,36.77,78.04,59.63
2019-07-01,295.66,49.62,120.25,58.42,63.77,27.93,93.1,77.49,58.95,36.7,79.28,59.48
2019-07-02,296.43,50.08,120.51,58.93,62.75,27.86,93.6,77.39,58.89,37.38,79.49,60.29
2019-07-03,298.8,50.34,121.56,59.66,63.0,28.08,94.4,77.82,59.19,37.92,80.1,60.71
2019-07-05,298.46,50.41,121.7,59.4,63.09,28.16,93.75,77.51,58.92,37.71,79.95,60.68
2019-07-08,296.82,49.96,121.85,59.48,63.18,28.02,93.05,76.87,58.24,37.85,79.34,60.77
2019-07-09,297.19,50.27,121.98,59.13,63.23,28.07,93.14,76.7,57.67,38.05,79.62,60.85
2019-07-10,298.61,50.84,122.42,59.51,64.04,27.97,93.46,76.52,57.55,38.26,80.25,60.99
2019-07-11,299.31,50.87,122.67,59.66,64.17,28.13,93.48,77.04,57.8,37.77,80.55,61.01
2019-07-12,300.65,51.24,124.08,59.83,64.44,28.32,92.44,78.39,58.37,37.62,81.14,60.61
2019-07-15,300.75,51.25,124.48,59.97,63.86,28.16,92.64,78.07,58.41,37.67,81.41,60.85
2019-07-16,299.78,51.13,124.32,59.99,63.18,28.09,92.18,78.57,58.55,37.61,80.65,60.5
2019-07-17,297.74,50.65,123.13,59.92,62.46,27.85,92.2,76.89,58.03,37.42,80.44,60.73
2019-07-18,298.83,50.24,122.97,60.32,62.47,28.06,92.72,77.03,58.28,37.41,81.04,61.26
2019-07-19,297.17,49.59,122.16,59.94,62.76,27.94,91.76,77.45,58.41,36.8,80.69,60.37
2019-07-22,297.9,49.78,122.23,59.59,63.05,28.0,91.57,77.51,58.26,36.76,81.62,60.24
2019-07-23,300.03,49.97,123.06,60.02,63.22,28.29,92.14,78.49,59.46,37.12,82.07,59.86
2019-07-24,301.44,50.41,123.68,59.62,63.49,28.58,92.19,78.83,59.42,37.09,82.75,59.91
2019-07-25,300.0,50.28,122.99,59.7,62.77,28.38,91.74,78.67,58.99,36.93,82.41,59.76
2019-07-26,302.01,51.72,123.55,60.37,62.45,28.69,92.07,78.5,59.06,37.05,82.59,59.98
2019-07-29,301.46,51.43,122.95,60.48,62.2,28.47,92.45,78.36,58.86,37.19,82.54,60.29
2019-07-30,300.72,51.19,122.12,60.66,62.9,28.39,92.05,78.7,59.25,37.56,82.01,59.83
2019-07-31,297.43,50.78,120.72,59.43,62.7,28.25,91.14,77.82,58.34,37.41,80.77,59.55
2019-08-01,294.84,50.54,119.08,59.22,61.28,27.61,91.26,76.31,58.01,37.5,80.36,60.16
2019-08-02,292.62,50.05,118.1,59.23,60.4,27.6,91.05,75.82,57.33,37.79,79.05,60.15
2019-08-05,283.82,48.43,114.93,57.69,58.6,26.68,88.91,73.72,56.25,37.07,75.75,59.29
2019-08-06,287.8,49.13,116.68,58.21,58.53,27.11,90.06,74.83,56.32,37.53,77.01,60.03
2019-08-07,287.97,49.19,117.15,58.89,58.09,26.75,90.09,74.79,57.1,37.88,77.49,60.18
2019-08-08,293.62,50.18,119.41,59.65,59.76,27.26,91.29,76.06,58.19,38.48,79.39,60.8
2019-08-09,291.62,49.62,118.29,59.32,59.1,27.17,91.4,75.42,57.73,38.47,78.49,60.87
2019-08-12,288.07,49.07,116.57,58.92,58.4,26.65,90.51,74.38,56.83,38.43,77.46,60.75
2019-08-13,292.55,49.81,118.49,59.59,58.94,26.98,91.69,75.27,57.44,38.46,79.4,60.79
2019-08-14,283.9,48.04,114.78,58.65,56.63,25.98,89.14,72.97,55.62,37.86,76.96,60.29
2019-08-15,284.65,48.12,114.59,59.53,56.28,26.11,89.45,72.89,55.64,38.39,76.82,61.07
2019-08-16,288.85,48.74,115.89,60.21,57.02,26.57,90.55,74.3,56.62,38.66,78.28,61.38
2019-08-19,292.33,49.5,117.35,60.81,58.28,26.84,91.42,75.0,57.07,39.01,79.47,61.77
2019-08-20,290.09,49.17,117.38,60.15,57.79,26.48,90.64,74.56,56.4,38.72,79.07,61.67
2019-08-21,292.45,49.36,119.64,60.31,58.16,26.6,91.31,75.02,56.69,38.88,80.0,62.08
2019-08-22,292.36,49.25,119.67,60.63,57.9,26.78,90.86,75.13,56.31,39.07,79.81,62.14
2019-08-23,284.85,47.9,116.49,59.62,55.96,26.1,88.76,73.12,54.95,38.58,77.17,61.48
2019-08-26,288.0,48.62,117.64,60.36,56.2,26.35,89.69,73.66,55.13,38.94,78.24,62.19
2019-08-27,286.87,48.71,117.06,60.19,55.85,26.19,89.16,73.28,55.17,38.81,78.12,62.3
2019-08-28,288.89,48.83,118.52,60.77,56.65,26.43,89.81,74.18,55.6,38.92,78.19,62.13
2019-08-29,292.58,49.59,120.3,60.8,57.48,26.83,90.49,75.45,56.31,39.2,79.55,62.56
2019-08-30,292.45,49.53,119.58,60.72,57.48,26.92,90.6,75.76,56.69,39.21,79.53,62.58
2019-09-03,290.74,49.04,119.09,61.07,57.2,26.64,90.07,74.73,56.24,39.77,78.56,63.69
2019-09-04,294.04,49.99,120.27,61.62,58.0,26.9,90.13,75.68,56.93,40.1,79.9,63.75
2019-09-05,297.82,50.84,122.57,61.24,58.72,27.45,91.02,77.04,57.02,39.75,81.57,63.06
2019-09-06,298.05,50.73,122.87,61.44,59.03,27.44,91.27,77.2,57.24,39.8,81.5,62.81
2019-09-09,298.2,50.89,123.34,61.3,60.21,27.86,90.43,77.43,56.94,39.5,80.89,62.5
2019-09-10,298.13,50.96,122.85,60.92,60.92,27.96,90.69,78.14,57.5,38.92,80.48,62.58
2019-09-11,300.25,51.23,123.08,61.14,60.98,28.12,91.59,78.87,58.05,38.83,81.32,63.2
2019-09-12,301.29,51.38,123.67,61.39,60.6,28.27,91.56,78.92,58.5,39.06,81.76,63.34
2019-09-13,301.09,51.29,123.42,61.04,61.08,28.49,91.51,79.35,59.14,38.59,81.16,62.94
2019-09-16,300.16,51.1,121.84,60.45,63.13,28.39,91.31,79.28,58.17,38.99,80.96,62.99
2019-09-17,300.92,51.15,122.58,60.78,62.25,28.42,91.45,79.24,58.64,39.54,81.29,63.54
